From,To,Route,Summer_2022,Winter_2022_23,Summer_2023,Winter_2023_24,Latitude_Start,Longitude_Start,Country_Start,LandPart_Start,Distance_to_coastline_Start,GDP_per_capita_2021_Start,Population_50km_Start,Latitude_End,Longitude_End,Country_End,LandPart_End,Distance_to_coastline_End,GDP_per_capita_2021_End,Population_50km_End,Alternative_available,Immigrants_in_End_from_Start,Immigrants_in_Start_from_End,Route_distance,Tourist_Atractiveness,Economic_Atractiveness,Family_travel_Atractiveness,Latitude_min,GDP_per_capita_2021_min,GDP_per_capita_2021_max,Distance_to_coastline_min,Population_50km_max,Population_50km_min,Both_Summers,Both_Winters,Both_Summers_weekly,Both_Winters_weekly
Girona (GRO),Eindhoven (EIN),Girona (GRO) - Eindhoven (EIN),118,0,84,0,41.900959,2.760547,Spain,1,23.65306031,27200,1267286.008,51.45013,5.374528,Netherlands,1,78.77758677,58900,3456599.454,1,31000,52000,1081.449937,0.655900716,0.308627458,0.035471826,41.900959,27200,58900,41.900959,3456599.454,1267286.008,202,0,3.15625,0
Zagreb (ZAG),Brussels (CRL),Zagreb (ZAG) - Brussels (CRL),121,75,175,92,45.742931,16.068769,Croatia,1,118.1297986,12600,1407776.53,50.459972,4.453121,Belgium,1,98.76086258,29100,3758955.219,1,0,5000,1008.989721,0.726670191,0.271312745,0.002017064,45.742931,12600,29100,45.742931,3758955.219,1407776.53,296,167,4.625,4.175
Zagreb (ZAG),Weeze (NRN),Zagreb (ZAG) - Weeze (NRN),83,42,91,48,45.742931,16.068769,Croatia,1,118.1297986,12600,1407776.53,51.602409,6.142172,Germany,1,133.6826271,33400,4236942.447,1,386000,32000,977.2418515,0.583013746,0.248277669,0.168708585,45.742931,12600,33400,45.742931,4236942.447,1407776.53,174,90,2.71875,2.25
Weeze (NRN),Zagreb (ZAG),Weeze (NRN) - Zagreb (ZAG),83,42,89,48,51.602409,6.142172,Germany,1,133.6826271,33400,4236942.447,45.742931,16.068769,Croatia,1,118.1297986,12600,1407776.53,1,32000,386000,977.2418515,0.583013746,0.248277669,0.168708585,45.742931,12600,33400,45.742931,4236942.447,1407776.53,172,90,2.6875,2.25
Zagreb (ZAG),Paris (BVA),Zagreb (ZAG) - Paris (BVA),62,41,61,64,45.742931,16.068769,Croatia,1,118.1297986,12600,1407776.53,49.453465,2.115138,France,1,85.79422426,27300,1281492.573,1,9000,2000,1123.88404,0.823510448,0.170774878,0.005714674,45.742931,12600,27300,45.742931,1407776.53,1281492.573,123,105,1.921875,2.625
London (STN),Tampere (TMP),London (STN) - Tampere (TMP),62,45,62,0,51.884998,0.235,United Kingdom,2,35.23390898,30698,8082506.783,61.414349,23.605452,Finland,1,103.5652536,42300,477144.2467,0,6000,21000,1764.679792,0.513476269,0.474721447,0.011802284,51.884998,30698,42300,51.884998,8082506.783,477144.2467,124,45,1.9375,1.125
Tampere (TMP),London (STN),Tampere (TMP) - London (STN),62,45,62,0,61.414349,23.605452,Finland,1,103.5652536,42300,477144.2467,51.884998,0.235,United Kingdom,2,35.23390898,30698,8082506.783,0,21000,6000,1764.679792,0.513476269,0.474721447,0.011802284,51.884998,30698,42300,51.884998,8082506.783,477144.2467,124,45,1.9375,1.125
Paris (BVA),Zagreb (ZAG),Paris (BVA) - Zagreb (ZAG),62,41,61,64,49.453465,2.115138,France,1,85.79422426,27300,1281492.573,45.742931,16.068769,Croatia,1,118.1297986,12600,1407776.53,1,2000,9000,1123.88404,0.823510448,0.170774878,0.005714674,45.742931,12600,27300,45.742931,1407776.53,1281492.573,123,105,1.921875,2.625
Manchester (MAN),Lanzarote (ACE),Manchester (MAN) - Lanzarote (ACE),218,211,233,223,53.353741,-2.27495,United Kingdom,2,22.87889375,53214,6629384.467,28.945459,-13.6052,Spain,18,0.265973112,20700,156650.518,0,303000,151000,2870.310766,0.585496945,0.283518388,0.130984667,28.945459,20700,53214,28.945459,6629384.467,156650.518,451,434,7.046875,10.85
Lanzarote (ACE),Manchester (MAN),Lanzarote (ACE) - Manchester (MAN),218,211,233,224,28.945459,-13.6052,Spain,18,0.265973112,20700,156650.518,53.353741,-2.27495,United Kingdom,2,22.87889375,53214,6629384.467,0,151000,303000,2870.310766,0.585496945,0.283518388,0.130984667,28.945459,20700,53214,28.945459,6629384.467,156650.518,451,435,7.046875,10.875
